vehicleTypeMatch,priceWithinBudget,priceToBudgetRatio,durationInDays,popularityScore,userTypeAffinityScore,isGoodMatch
1,0,1.45,11,5,1,0
1,0,2.04,11,5,2,0
0,1,0.92,1,2,0,0
1,0,1.28,9,6,1,0
0,1,0.99,5,5,2,0
1,1,0.77,2,2,1,1
0,1,0.78,12,2,1,0
1,1,0.33,11,5,1,1
0,0,1.57,9,4,2,0
1,0,1.99,12,2,0,0
0,0,1.5,7,5,1,0
0,1,0.49,14,2,2,1
0,0,1.17,14,2,0,0
1,0,1.07,8,8,0,0
1,1,0.59,13,1,1,1
0,0,1.44,3,0,0,0
1,1,0.8,14,7,0,1
1,1,0.79,7,5,2,1
1,0,2.14,11,6,0,0
1,0,1.25,1,2,0,1
0,0,2.37,6,1,1,0
0,1,0.72,10,5,0,0
1,1,0.46,6,4,1,1
1,1,0.96,11,4,1,1
1,1,0.71,10,6,0,1
0,1,0.52,12,4,1,0
0,0,1.85,6,5,0,0
1,0,2.16,3,3,0,0
1,1,0.41,6,2,2,1
1,0,2.01,14,1,1,0
1,0,1.68,3,5,1,0
1,1,0.52,10,3,2,1
0,1,0.85,9,1,1,0
0,1,0.39,7,3,3,1
1,1,0.83,14,5,1,1
1,0,1.08,13,8,0,1
0,1,0.31,4,2,2,1
0,0,1.86,3,5,1,0
1,0,2.08,6,5,1,1
0,1,0.55,9,2,1,1
0,0,2.18,3,8,1,0
1,1,0.73,8,2,0,1
1,0,1.28,6,3,0,0
1,1,0.99,4,2,0,1
0,1,0.99,5,4,1,1
1,1,0.74,3,3,2,1
0,1,0.61,14,8,1,1
0,0,1.92,2,3,1,0
1,1,0.78,9,5,2,1
1,1,0.37,13,4,2,1
1,0,2.06,3,3,0,1
1,1,0.35,6,0,2,1
1,1,0.35,5,4,2,1
0,0,2.25,10,5,1,0
0,1,0.64,11,6,0,0
0,0,1.27,8,4,3,0
0,1,0.64,5,3,2,0
1,0,2.1,11,3,0,0
0,1,0.36,8,6,2,1
1,1,0.69,11,3,4,1
1,1,0.49,5,6,2,1
1,1,0.73,11,10,1,1
1,1,0.98,10,5,3,1
1,1,0.38,13,2,0,1
1,0,1.49,6,2,5,1
0,1,0.63,5,2,4,1
1,1,0.98,2,2,1,1
0,1,0.84,10,6,2,1
0,1,0.93,10,3,1,0
1,1,0.53,6,4,3,1
0,1,0.99,14,1,1,0
1,1,0.37,7,5,0,1
1,0,1.54,3,2,3,0
1,1,0.9,3,5,1,1
0,1,0.95,12,5,2,1
0,1,0.36,7,3,1,1
1,1,0.38,11,3,1,1
1,0,1.16,10,5,1,1
1,1,0.37,4,5,4,1
1,1,0.45,2,6,1,1
1,0,1.33,9,4,3,0
0,1,0.77,14,3,4,0
0,0,1.11,13,5,0,0
1,0,2.01,9,0,3,0
0,0,1.7,6,4,2,0
0,1,0.86,14,5,0,0
1,1,0.72,2,6,0,1
1,1,0.52,3,2,1,1
1,1,0.69,5,7,3,1
1,1,0.67,11,5,2,1
0,0,1.47,11,6,1,0
1,0,1.62,5,4,2,0
1,1,0.59,13,4,3,1
0,0,1.13,9,5,1,0
1,1,0.37,10,2,5,1
1,1,0.84,3,4,0,1
1,1,0.56,2,3,0,1
1,1,0.33,10,4,2,1
1,0,1.78,8,6,2,0
0,0,1.14,7,5,0,0
0,1,0.38,12,1,2,1
1,1,0.95,9,1,5,1
1,1,0.35,3,3,0,1
1,0,1.95,6,4,0,0
1,1,0.79,5,4,1,1
1,1,0.53,5,3,1,1
1,1,0.57,10,3,3,1
1,0,1.23,8,4,5,1
1,1,0.72,1,2,2,1
1,1,0.77,1,3,2,1
1,0,2.08,3,6,2,0
1,1,0.64,11,6,0,1
0,1,0.99,2,6,2,0
0,1,0.45,2,2,0,1
0,1,0.59,2,4,2,1
1,0,2.29,4,3,1,0
0,1,0.84,1,10,1,0
1,1,0.83,10,4,1,1
1,1,0.5,9,1,4,1
0,1,0.36,14,4,0,1
1,1,0.31,5,3,3,1
0,0,2.38,5,5,3,0
0,1,0.59,9,4,2,1
1,1,0.99,14,2,0,1
0,0,1.7,5,5,0,0
0,1,0.48,13,6,1,1
1,1,0.92,13,5,3,1
1,1,0.64,11,3,1,1
0,0,2.44,14,4,2,0
1,1,0.37,8,8,2,1
0,0,2.12,11,2,0,0
0,1,0.96,1,4,2,0
1,1,0.71,1,4,1,1
1,1,0.54,4,2,1,1
1,1,0.74,8,0,0,1
1,1,0.94,3,4,4,1
1,1,0.49,1,6,0,1
1,1,0.65,11,1,1,1
0,1,0.97,12,5,0,0
1,1,0.42,9,6,5,1
0,1,0.8,9,5,0,0
1,1,0.73,9,5,1,1
0,1,0.78,9,6,2,1
0,1,0.55,2,4,2,0
1,0,1.33,14,2,2,0
1,0,2.4,14,4,2,0
1,1,0.45,11,2,0,1
1,1,0.59,11,3,0,1
0,1,0.43,11,5,2,1
0,1,0.31,4,2,4,1
0,0,1.25,2,7,2,0
1,1,0.6,7,7,3,1
1,1,0.98,11,2,2,1
1,1,0.4,3,7,1,1
0,1,0.71,9,5,3,1
1,0,1.39,7,8,1,0
1,0,1.47,8,1,1,0
1,1,0.85,9,5,0,1
1,1,0.38,8,5,0,1
1,1,0.94,7,3,0,1
0,0,2.02,9,4,1,0
0,0,2.17,11,4,1,0
1,1,0.99,1,7,2,1
0,1,0.92,11,4,0,0
0,1,0.97,4,3,0,0
0,0,1.59,4,3,2,0
0,1,0.37,5,3,1,1
1,0,2.15,8,3,1,0
1,0,1.32,10,8,0,0
1,1,0.86,1,2,2,1
0,0,1.82,6,4,0,0
1,0,1.92,9,3,1,0
1,1,0.53,10,7,2,1
0,1,0.54,8,2,2,1
1,1,0.76,2,4,1,1
0,1,0.63,7,4,0,0
1,0,2.28,5,5,0,0
1,0,2.13,2,4,3,0
0,1,0.85,11,8,2,1
0,1,0.34,1,2,2,1
1,1,0.44,2,5,0,1
1,0,1.41,11,2,0,0
1,1,0.9,10,6,5,1
1,0,2.16,6,2,0,0
0,1,0.53,11,4,1,0
0,1,0.68,12,7,1,1
1,1,0.45,8,7,2,1
0,1,0.87,3,6,2,1
1,1,0.84,5,4,2,1
1,1,0.4,11,3,0,1
1,1,0.62,2,1,3,1
0,0,1.03,12,6,2,0
1,1,0.54,8,2,2,1
1,0,1.54,4,2,2,0
1,1,0.34,11,3,1,1
1,1,0.73,10,5,2,1
0,1,0.41,12,4,0,0
1,1,0.88,6,1,1,1
1,0,1.49,3,3,1,0
0,1,0.5,11,6,1,1
0,1,0.89,8,4,0,1
0,1,0.34,8,8,0,1
0,0,2.07,3,5,2,0
0,1,0.56,12,5,0,0
1,1,0.5,9,1,0,1
0,0,1.32,10,6,6,0
0,0,2.48,13,4,0,0
1,1,0.34,5,3,1,1
0,1,0.8,10,2,1,0
1,1,0.67,9,6,3,1
0,1,0.93,7,9,2,1
0,1,0.52,10,3,3,1
1,1,0.7,3,6,1,1
1,0,2.44,6,4,0,0
1,0,1.81,10,6,2,0
1,1,0.62,2,5,0,1
1,1,0.44,6,4,3,1
0,1,0.83,12,4,5,1
0,1,0.62,5,1,2,1
1,0,2.11,13,4,4,0
1,1,0.48,3,3,1,1
1,0,1.26,14,5,2,0
1,1,0.96,7,4,1,1
0,1,0.76,11,1,4,0
1,1,0.91,4,5,2,1
0,1,0.88,11,4,1,0
1,0,1.91,14,5,2,0
1,1,0.72,6,6,1,1
1,0,1.54,9,0,3,0
1,1,0.67,12,4,3,1
1,1,0.46,14,4,0,1
0,1,0.82,6,3,2,0
1,1,0.67,4,5,1,1
1,0,2.48,10,4,1,0
1,1,0.49,2,1,2,1
0,0,1.09,9,5,1,0
1,1,0.35,14,6,2,1
0,0,2.33,4,3,3,0
0,0,2.26,4,2,3,0
1,1,0.98,2,4,0,1
0,1,0.99,5,9,1,1
0,0,1.74,13,8,0,0
1,1,0.92,6,4,1,1
1,1,0.45,10,3,3,1
1,1,0.98,6,4,1,1
1,0,2.3,3,2,3,0
1,1,0.37,12,10,2,1
0,1,0.38,14,3,2,1
0,1,0.7,9,8,0,1
1,1,0.85,7,1,4,1
1,1,0.56,13,5,1,1
1,1,0.98,14,7,2,1
1,1,0.6,3,6,1,1
0,0,1.9,4,4,3,0
1,0,2.03,7,8,3,0
0,1,0.78,11,6,1,0
1,0,1.6,8,4,0,0
1,1,0.62,6,3,0,1
1,1,0.72,4,5,0,1
0,0,1.57,12,2,0,0
0,1,0.75,2,2,2,1
0,1,0.99,10,3,1,1
1,1,0.33,8,4,3,1
1,1,0.92,1,4,1,1
0,1,0.69,9,6,0,0
0,1,0.48,8,3,1,1
1,1,0.97,3,5,2,1
0,1,0.64,10,4,1,0
1,0,1.91,4,4,4,0
1,0,1.68,10,2,2,0
0,1,0.47,4,6,1,1
0,0,1.64,2,8,1,0
1,0,1.24,12,5,2,1
0,1,0.94,11,4,0,0
0,0,1.37,10,8,1,0
1,1,0.38,5,4,2,1
1,1,0.3,13,3,0,1
1,1,0.66,12,3,0,1
1,1,1.0,3,1,1,1
0,0,1.3,12,7,2,0
0,1,0.52,11,2,2,1
1,1,0.91,1,4,1,1
1,1,0.85,2,6,3,1
1,1,0.31,11,5,0,1
1,0,1.1,12,2,1,0
0,1,0.51,7,3,2,1
1,0,1.29,1,3,4,0
0,1,0.46,12,8,3,1
1,1,0.63,13,6,0,1
0,0,1.71,13,2,1,0
0,0,1.75,2,2,1,0
0,0,1.2,14,5,0,0
1,1,0.83,10,3,3,1
1,1,0.99,7,5,1,1
1,0,1.21,1,4,3,0
1,1,0.51,7,3,0,1
0,0,2.22,13,2,0,0
0,1,0.45,8,5,0,1
1,0,1.17,11,4,1,1
0,1,0.69,13,5,0,1
1,1,0.72,14,2,0,1
0,1,0.79,2,3,4,1
1,1,0.78,4,3,2,1
0,1,0.5,7,3,5,1
1,1,0.53,1,9,1,1
1,1,0.78,6,4,2,1
1,1,0.54,5,6,2,1
0,1,0.45,11,2,1,1
1,0,1.4,6,4,0,0
1,1,0.49,8,2,0,1
1,0,1.87,11,8,2,0
1,1,0.88,11,3,1,1
1,1,0.9,1,2,1,1
1,1,0.45,3,1,1,1
1,0,2.13,11,3,0,0
1,0,1.81,13,1,0,0
1,1,0.45,9,5,1,1
0,1,0.58,12,4,3,0
0,1,0.34,8,2,3,1
1,1,0.46,4,6,1,1
1,1,0.86,11,3,0,1
1,1,0.86,14,6,0,1
1,0,1.23,10,5,2,1
0,1,0.54,9,3,0,1
0,0,1.97,7,6,1,0
1,1,0.35,2,8,1,1
0,0,2.33,1,4,3,0
1,1,0.76,1,5,0,1
0,0,1.18,13,4,0,0
1,0,1.2,3,1,2,0
1,1,0.89,13,5,1,1
1,0,2.02,14,4,0,0
1,0,1.57,10,3,3,0
0,1,0.43,2,4,1,1
1,0,1.61,4,4,2,0
1,0,1.95,14,2,1,0
0,1,0.99,14,3,2,0
1,1,0.77,8,9,0,1
1,1,0.97,5,5,2,1
1,1,0.44,5,4,1,1
1,1,0.9,6,2,2,1
1,0,1.82,13,5,1,0
1,1,0.99,12,5,1,1
1,1,0.41,5,4,1,1
1,1,0.66,5,4,2,1
0,1,0.85,14,13,1,1
0,0,1.57,7,1,1,0
0,1,0.63,6,6,1,0
1,1,0.99,13,4,1,1
1,1,0.6,13,3,1,1
0,0,1.52,14,5,1,0
1,0,1.12,10,10,3,1
0,0,1.5,11,3,1,0
1,1,0.75,2,3,2,1
1,0,2.43,13,5,3,0
1,0,1.48,1,5,0,0
1,1,0.71,1,4,1,1
1,0,1.35,4,2,0,0
0,1,0.3,2,4,0,1
0,1,0.73,6,3,0,0
1,1,0.43,12,4,5,1
1,1,0.43,12,3,1,1
1,1,0.76,9,2,0,1
1,1,0.34,10,4,0,1
1,0,1.5,11,8,4,0
1,0,2.07,14,5,1,0
1,0,1.77,10,2,2,0
1,1,0.76,8,4,3,1
0,1,0.8,4,4,3,0
1,1,0.48,13,0,2,1
0,1,0.36,12,2,1,1
1,0,2.17,2,2,2,0
1,1,0.6,1,6,0,1
0,1,0.96,7,2,0,0
1,0,1.93,10,2,1,0
1,1,0.48,3,2,1,1
0,0,2.02,14,7,3,0
0,1,0.72,6,4,2,1
1,1,0.78,5,5,1,1
1,0,2.28,5,2,0,0
1,1,0.9,12,1,4,1
1,0,2.32,2,5,1,0
1,1,0.39,14,3,2,1
1,1,0.5,9,2,1,1
1,0,1.74,11,4,3,0
1,1,0.73,4,4,1,1
1,1,0.67,10,3,0,1
0,1,0.78,1,5,0,0
0,0,1.89,2,2,0,0
1,1,0.92,9,1,2,1
1,1,0.71,7,3,2,1
1,0,2.17,10,5,0,0
0,0,1.97,2,3,2,0
0,0,1.18,7,4,0,0
0,1,0.93,14,7,2,1
0,0,1.22,4,6,0,0
1,1,0.85,10,5,3,1
0,1,0.81,2,2,4,1
1,1,0.34,12,4,3,1
1,1,0.71,4,4,0,1
0,1,0.39,5,3,1,0
1,1,0.98,13,1,1,1
1,0,1.5,14,1,3,0
0,0,1.21,4,7,2,0
1,1,0.39,3,5,1,1
1,0,1.25,6,4,0,1
1,1,0.54,1,0,3,1
0,1,0.32,8,2,0,1
1,0,1.69,12,10,2,0
1,1,0.57,5,6,2,1
0,1,0.37,8,3,3,1
1,1,0.86,10,1,0,1
1,1,0.94,4,2,1,1
1,1,0.83,4,5,2,1
0,0,2.25,5,6,3,0
1,1,0.45,5,9,1,1
0,1,0.48,11,4,1,0
0,1,0.45,6,6,0,1
0,0,2.01,5,5,1,0
0,0,2.12,5,3,2,0
0,1,0.8,13,4,3,1
0,1,0.92,8,4,0,0
1,0,1.36,6,5,0,1
0,1,0.57,2,2,1,1
0,1,0.6,4,3,2,0
1,1,0.35,4,5,3,1
1,0,2.39,5,6,3,0
1,0,1.1,6,7,1,0
0,0,1.03,11,3,2,0
0,1,0.69,5,3,1,1
0,1,0.69,14,1,2,1
0,1,0.49,14,4,2,0
0,1,0.63,11,3,0,1
0,1,0.63,6,4,3,0
0,1,0.57,8,3,3,0
0,1,0.87,4,3,2,0
1,0,1.95,11,1,3,0
0,0,2.25,3,5,4,0
0,1,0.93,9,6,1,0
1,1,0.91,3,6,0,1
1,0,1.8,11,1,0,0
0,1,0.49,8,2,0,0
1,1,0.32,10,5,0,1
1,0,1.91,12,4,1,0
0,0,1.61,5,4,0,0
1,0,2.16,9,4,0,0
1,1,0.75,3,9,2,1
0,0,1.75,10,7,1,0
0,1,0.39,10,2,1,0
1,1,0.41,8,10,0,1
1,1,0.74,14,2,0,1
0,0,1.92,13,8,2,0
0,1,0.9,13,7,2,1
0,1,0.96,7,6,1,0
1,1,0.44,12,4,0,1
1,1,0.52,7,2,1,1
0,0,2.1,14,3,3,0
1,1,0.55,11,3,3,1
1,1,0.94,10,4,2,1
0,1,0.7,9,4,6,1
0,1,0.82,12,1,0,0
1,1,0.64,8,5,2,1
1,0,1.46,3,6,2,1
1,1,0.34,14,7,1,1
1,1,0.68,13,7,2,1
0,1,0.8,6,4,1,0
1,0,1.83,11,6,1,0
1,1,0.81,6,5,1,1
0,1,0.87,5,5,1,1
0,0,2.24,3,4,3,0
0,1,0.82,9,3,2,1
0,1,0.58,7,7,1,0
0,1,0.77,4,3,1,0
0,1,0.83,6,5,4,0
0,1,0.99,5,3,2,0
0,0,2.25,1,3,2,0
1,1,0.59,2,4,2,1
1,1,0.42,1,2,2,1
1,1,0.44,9,4,0,1
1,1,0.79,9,4,1,1
1,1,0.94,5,6,2,1
0,0,1.51,8,2,1,0
1,1,0.43,10,10,1,1
1,0,2.44,4,4,2,0
1,0,2.17,1,4,4,0
1,0,2.18,13,3,1,0
0,1,0.46,13,3,0,1
0,0,2.26,4,6,0,0
0,0,2.14,7,4,3,0
1,0,1.9,11,3,1,0
1,0,2.44,2,2,2,0
0,1,0.49,2,3,1,0
1,1,0.72,6,3,2,1
1,0,1.61,9,4,3,0
0,1,0.76,3,5,2,0
0,1,0.61,7,4,1,1
0,1,0.54,10,2,2,0
0,0,1.92,14,2,0,0
0,1,0.83,9,2,4,0
0,0,2.46,11,2,3,0
0,0,2.45,13,3,0,0
0,0,1.53,9,2,0,0
1,1,0.37,11,3,0,1
0,0,1.69,4,4,0,0
1,0,2.28,2,3,0,0
1,0,1.33,1,5,4,1
1,1,0.83,6,3,2,1
0,1,0.51,5,3,2,0
0,0,2.42,6,3,3,0
1,1,0.82,7,7,1,1
1,1,0.47,9,3,1,1
1,1,0.81,10,3,0,1
0,0,2.09,10,5,0,0
0,1,0.58,11,6,1,1
1,0,1.15,6,2,2,0
1,1,0.66,6,1,1,1
1,0,1.17,13,5,0,0
1,1,0.75,3,5,1,1
0,1,0.42,13,9,0,1
1,1,0.78,8,1,1,1
0,0,1.54,9,5,1,0
0,1,0.71,1,2,2,0
1,0,2.06,6,2,1,0
1,1,0.66,7,5,0,1
0,1,0.87,11,7,3,1
0,1,0.81,8,4,2,0
1,1,0.73,12,3,1,1
0,1,0.41,10,3,1,1
1,1,0.89,11,3,3,1
0,1,0.96,8,4,4,0
1,0,2.12,7,4,1,0
1,1,0.64,8,6,2,1
0,1,0.48,11,3,0,1
0,1,0.83,9,2,2,0
0,0,2.06,10,4,1,0
0,1,0.4,7,3,1,0
1,1,0.91,3,7,3,1
0,1,0.43,9,3,3,1
1,1,0.86,1,5,1,1
0,1,0.62,14,3,1,0
1,1,0.53,8,5,2,1
1,0,2.24,6,3,1,0
1,0,2.05,11,5,1,0
1,1,0.76,3,5,0,1
1,1,0.69,9,5,0,1
0,1,0.39,6,4,1,1
1,1,0.38,7,2,2,1
1,0,1.81,11,4,2,0
1,1,0.82,2,4,2,1
0,0,1.38,1,6,2,0
1,0,2.38,1,3,1,0
1,1,0.69,3,6,1,1
0,0,2.2,11,4,1,0
0,1,0.93,3,6,3,0
1,1,0.93,8,6,1,1
1,1,0.79,7,6,0,1
1,0,1.44,10,2,2,1
0,0,1.06,8,6,2,0
1,0,1.15,1,2,2,0
0,1,0.7,4,4,3,1
0,1,0.51,8,7,0,1
0,1,0.45,10,6,1,1
1,0,2.29,2,5,0,0
1,1,0.74,7,2,1,1
1,0,2.39,8,4,0,0
0,0,1.76,14,3,1,0
1,1,0.63,9,5,1,1
0,1,0.46,7,2,4,1
1,0,1.42,12,6,2,0
1,0,2.38,9,3,0,0
0,1,0.82,2,4,1,0
1,0,1.76,11,2,1,0
0,0,1.5,1,5,1,0
1,1,0.64,1,4,1,1
1,1,0.43,11,2,2,1
0,1,0.93,12,3,2,1
1,1,0.47,4,6,4,1
0,1,0.36,1,4,1,1
1,0,1.55,7,4,2,0
1,1,0.42,8,3,0,1
1,1,0.56,3,4,3,1
0,0,1.09,14,5,3,0
1,1,0.4,1,7,2,1
1,0,1.45,3,2,0,0
0,0,1.21,2,1,1,0
0,0,2.16,6,1,1,0
1,1,0.89,11,5,2,1
1,1,0.56,7,3,0,1
1,1,0.91,9,4,0,1
1,1,0.45,5,2,1,1
1,0,1.99,4,3,2,0
0,0,1.04,1,1,1,0
0,0,1.37,11,5,1,0
0,0,1.65,14,7,3,0
1,0,1.5,6,5,0,0
0,1,0.83,11,7,1,0
1,1,0.68,8,2,1,1
1,1,0.74,4,5,1,1
1,0,1.51,1,5,1,1
0,1,0.51,14,3,1,1
1,0,2.27,14,5,2,0
0,0,1.9,5,3,2,0
1,1,0.73,10,7,2,1
0,1,0.42,5,4,2,1
0,0,1.86,2,2,2,0
1,1,0.63,6,7,2,1
0,0,2.12,10,7,0,0
0,1,0.42,9,5,0,1
1,1,0.95,14,4,2,1
1,1,0.83,6,4,4,1
1,0,2.23,8,1,1,0
1,1,0.78,10,5,2,1
1,1,0.93,3,3,3,1
0,1,0.4,10,5,0,1
0,0,2.12,2,7,2,0
0,1,0.68,4,1,1,0
1,1,0.86,12,2,2,1
1,1,0.33,9,5,1,1
1,1,0.99,9,2,0,1
1,1,0.62,3,3,0,1
1,1,0.55,12,5,1,1
0,1,0.5,13,3,1,0
1,0,2.17,1,3,1,0
1,1,0.85,1,3,3,1
1,0,2.45,4,1,1,0
0,1,0.59,4,8,1,1
1,0,1.88,11,8,1,0
1,1,0.88,12,5,1,1
1,0,2.34,10,3,0,0
1,0,2.31,6,7,1,0
1,1,0.6,5,5,1,1
1,0,1.77,6,7,1,0
0,0,2.25,10,1,3,0
1,0,1.65,7,2,4,0
1,1,0.34,7,3,2,1
1,1,0.87,10,6,0,1
1,1,0.88,14,1,1,1
1,1,0.47,10,2,0,1
1,1,0.53,9,6,2,1
1,0,1.09,6,3,1,0
0,0,2.23,8,2,4,0
1,1,0.5,2,7,2,1
1,0,2.44,8,3,3,0
0,0,1.39,9,6,0,0
1,1,0.34,4,5,2,1
1,1,0.3,5,2,3,1
1,0,1.14,5,6,2,0
1,0,1.4,2,1,2,0
0,1,0.97,5,3,1,0
0,1,0.6,9,1,6,1
0,1,0.66,4,4,0,0
1,1,0.4,10,5,1,1
0,1,0.69,3,4,0,0
0,1,0.4,14,4,0,1
0,1,0.73,7,2,2,0
1,0,2.02,8,3,4,0
1,1,0.44,13,4,2,1
0,0,2.06,13,3,1,0
0,0,2.24,10,5,2,0
1,1,0.56,6,0,3,1
1,1,0.38,6,3,0,1
0,1,0.55,13,3,2,1
1,0,1.81,5,1,0,0
0,1,0.56,11,4,1,0
0,1,0.59,6,7,2,1
1,1,0.51,9,1,1,1
1,0,2.36,2,5,5,0
1,1,0.94,10,6,0,1
0,1,0.58,11,3,2,0
1,0,2.42,3,4,0,0
1,1,0.49,1,10,5,1
0,1,0.9,4,3,4,1
1,0,2.43,2,8,5,0
0,0,2.32,6,2,0,0
1,0,1.85,13,4,1,0
0,1,0.61,1,6,0,0
1,0,2.31,8,4,1,0
0,1,0.96,10,5,3,1
1,1,0.92,6,4,2,1
1,1,0.36,9,4,2,1
1,0,2.03,12,5,2,0
0,0,2.46,6,7,3,0
1,1,0.59,10,2,2,1
0,1,0.91,7,8,3,1
1,1,0.67,5,3,0,1
0,0,1.58,14,3,0,0
0,0,2.18,8,2,4,0
0,1,0.86,8,5,0,0
1,0,2.46,10,3,1,0
1,1,0.63,9,4,1,1
0,1,0.45,12,4,0,0
1,0,1.42,6,2,0,0
1,1,0.97,1,5,1,1
1,1,0.66,9,0,0,1
1,0,1.23,3,4,2,0
1,1,0.66,9,4,2,1
1,0,1.29,7,1,2,0
0,1,0.54,14,2,2,0
